date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000025,17.75,17.56,17.81,17.35,69399,121304576.5,2.59,-1.18,-0.21,1.77
2025-09-23,000025,17.56,17.33,17.57,16.89,98351,168909241.79,3.87,-1.31,-0.23,2.5
2025-09-24,000025,17.26,17.78,17.85,17.18,83854,147902363.32,3.87,2.6,0.45,2.13
2025-09-25,000025,17.77,17.5,17.77,17.4,66162,116019622.68,2.08,-1.57,-0.28,1.68
2025-09-26,000025,17.47,17.36,17.64,17.35,46203,80845942.2,1.66,-0.8,-0.14,1.18
2025-09-29,000025,17.35,17.49,17.57,17.0,56687,98390659.44,3.28,0.75,0.13,1.44
2025-09-30,000025,17.5,17.54,17.68,17.41,51169,89910823.56,1.54,0.29,0.05,1.3
2025-10-09,000025,17.84,17.9,18.04,17.72,115764,206913625.28,1.82,2.05,0.36,2.95
2025-10-10,000025,17.8,18.06,18.17,17.57,126672,226494723.23,3.35,0.89,0.16,3.23
2025-10-13,000025,17.73,17.96,18.0,17.56,85758,152978450.12,2.44,-0.55,-0.1,2.18
2025-10-14,000025,18.25,18.1,18.5,17.99,142219,259757648.3,2.84,0.78,0.14,3.62
2025-10-15,000025,18.2,17.94,18.22,17.8,74804,134174855.0,2.32,-0.88,-0.16,1.9
2025-10-16,000025,17.95,17.86,18.19,17.82,88644,159579268.45,2.06,-0.45,-0.08,2.26
2025-10-17,000025,17.9,17.6,18.25,17.57,97947,175510360.08,3.81,-1.46,-0.26,2.49
2025-10-20,000025,17.5,17.4,17.64,17.28,74491,129530231.8,2.05,-1.14,-0.2,1.9
2025-10-21,000025,17.5,17.56,17.71,17.45,68886,121271114.33,1.49,0.92,0.16,1.75
2025-10-22,000025,17.3,17.38,17.5,17.16,69638,120773184.71,1.94,-1.03,-0.18,1.77
2025-10-23,000025,18.5,19.12,19.12,18.18,185422,350207034.36,5.41,10.01,1.74,4.72
2025-10-24,000025,19.88,18.51,21.02,18.44,526250,1018258017.28,13.49,-3.19,-0.61,13.4
2025-10-27,000025,18.88,18.58,18.99,18.17,257349,475233230.28,4.43,0.38,0.07,6.55
2025-10-28,000025,18.48,18.58,18.95,18.19,247020,457639891.03,4.09,0.0,0.0,6.29
2025-10-29,000025,18.4,18.35,18.5,18.13,146732,268331189.58,1.99,-1.24,-0.23,3.74
2025-10-30,000025,18.3,17.94,18.33,17.94,144991,262527148.91,2.13,-2.23,-0.41,3.69
2025-10-31,000025,17.88,18.1,18.19,17.81,111006,200414762.8,2.12,0.89,0.16,2.83
2025-11-03,000025,18.0,18.1,18.1,17.86,85728,154117531.01,1.33,0.0,0.0,2.18
2025-11-04,000025,18.09,18.0,18.23,17.88,83549,150845113.73,1.93,-0.55,-0.1,2.13
2025-11-05,000025,17.85,17.95,18.05,17.8,66179,118820871.9,1.39,-0.28,-0.05,1.68
2025-11-06,000025,17.9,17.99,18.06,17.77,72888,130777900.7,1.62,0.22,0.04,1.86
2025-11-07,000025,18.02,18.26,18.38,17.95,131112,238730298.85,2.39,1.5,0.27,3.34
2025-11-10,000025,18.27,18.42,18.43,18.17,122086,223476855.67,1.42,0.88,0.16,3.11
2025-11-11,000025,18.44,18.46,18.57,18.34,107861,198907075.5,1.25,0.22,0.04,2.75
2025-11-12,000025,18.52,18.57,18.65,18.37,124915,231274845.17,1.52,0.6,0.11,3.18
2025-11-13,000025,18.6,18.75,18.85,18.38,140490,262364566.24,2.53,0.97,0.18,3.58
2025-11-14,000025,18.68,19.4,20.08,18.6,273124,528497244.47,7.89,3.47,0.65,6.95
2025-11-17,000025,19.19,19.23,19.59,19.08,160382,308825182.97,2.63,-0.88,-0.17,4.08
2025-11-18,000025,19.15,19.45,19.61,19.01,178250,345563130.32,3.12,1.14,0.22,4.54
2025-11-19,000025,19.46,19.13,19.73,18.95,175648,338726665.37,4.01,-1.65,-0.32,4.47
2025-11-20,000025,18.96,19.63,19.96,18.93,270183,530327712.21,5.38,2.61,0.5,6.88
2025-11-21,000025,19.45,19.39,19.86,19.0,229099,445103315.57,4.38,-1.22,-0.24,5.83
2025-11-24,000025,19.45,19.53,19.76,19.2,171381,333859041.47,2.89,0.72,0.14,4.36
2025-11-25,000025,19.53,19.05,19.54,18.95,191488,366067836.84,3.02,-2.46,-0.48,4.88
2025-11-26,000025,18.88,20.96,20.96,18.81,248082,496304611.19,11.29,10.03,1.91,6.32
2025-11-27,000025,21.0,20.07,21.14,19.97,338187,687174002.54,5.58,-4.25,-0.89,8.61
2025-11-28,000025,20.21,20.07,20.33,19.74,170566,341467323.86,2.94,0.0,0.0,4.34
2025-12-01,000025,20.08,19.8,20.42,19.7,230968,462751314.69,3.59,-1.35,-0.27,5.88
2025-12-02,000025,19.58,19.94,20.74,19.22,233933,463536100.54,7.68,0.71,0.14,5.96
2025-12-03,000025,19.81,19.16,19.88,19.01,175340,339500066.5,4.36,-3.91,-0.78,4.46
2025-12-04,000025,19.01,18.47,19.18,18.47,151759,283709589.64,3.71,-3.6,-0.69,3.86
2025-12-05,000025,18.45,18.71,18.75,18.24,101763,188737687.67,2.76,1.3,0.24,2.59
