品种代码,品种名称,纳入日期
603019,中科曙光,2025-12-15
600930,华电新能,2025-12-15
600111,北方稀土,2025-12-15
600104,上汽集团,2025-12-15
600760,中航沈飞,2025-06-16
601211,国泰海通,2025-06-16
688008,澜起科技,2025-06-16
688256,寒武纪,2024-12-16
603993,洛阳钼业,2024-12-16
601816,京沪高铁,2024-12-16
601127,赛力斯,2024-12-16
601328,交通银行,2024-06-17
601658,邮储银行,2024-06-17
601985,中国核电,2024-06-17
688012,中微公司,2024-06-17
601601,中国太保,2023-12-11
600150,中国船舶,2023-12-11
601988,中国银行,2023-12-11
688041,海光信息,2023-12-11
688981,中芯国际,2023-12-11
600050,中国联通,2023-06-12
601728,中国电信,2023-06-12
688111,金山办公,2023-06-12
600406,国电南瑞,2022-12-12
601225,陕西煤业,2022-12-12
600900,长江电力,2021-12-13
601919,中远海控,2021-12-13
600809,山西汾酒,2021-06-15
601899,紫金矿业,2021-06-15
603501,韦尔股份,2020-12-14
601012,隆基股份,2019-12-16
600031,三一重工,2019-06-17
603259,药明康德,2018-12-17
601888,中国国旅,2018-12-17
600276,恒瑞医药,2018-06-11
600690,青岛海尔,2018-06-11
600309,万华化学,2017-12-11
600887,伊利股份,2012-07-02
601288,农业银行,2010-07-29
601668,中国建筑,2010-01-04
601857,中国石油,2007-11-19
601088,中国神华,2007-10-23
601318,中国平安,2007-03-15
601166,兴业银行,2007-02-26
601628,中国人寿,2007-01-23
601398,工商银行,2006-11-10
600519,贵州茅台,2005-07-01
600030,中信证券,2004-01-02
600036,招商银行,2004-01-02
600028,中国石化,2004-01-02
