股票代码,股票简称,"分红明细
2025.09.30","股息率(近12个月)(%)
2026.03.17","每股股利(税前)(元)
2025.09.30","a股流通市值(元)
2026.03.17","总股本(股)
2026.03.17","市盈率(pe)
2026.03.17",最新dde大单净额(元),主营产品名称,所属概念,所属概念数量(个),现价(元),涨跌幅(%),经营范围,公司网站,所属同花顺行业
301226.SZ,祥明智能,--,0.239578,--,4541312000,108800000,173.932,74053816,交流异步电机||直流有刷电机||直流无刷电机||离心风机||横流风机||轴流风机||特种定制风机||智能化组件||风机||其他||微特电机,商业航天;稀土永磁;芯片概念;汽车热管理;减速器;风电;人形机器人;数据中心;光伏概念;华为概念;机器人概念;新能源汽车;比亚迪概念;海峡两岸;储能;充电桩;冷链物流;融资融券,18,41.74,20.01150086,生产电机、电机延伸产品与配件、风机、泵、通风电器、保健电器、电子控制组件、电子仪器；销售自产产品；从事上述商品及其相关原辅材料、仪器仪表、控制器件、机械设备、相关零配件、软件的国内采购、批发、进出口业务（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）及相关技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 许可项目：道路货物运输（不含危险货物）（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。,www.xiangming.com,机械设备-通用设备-其他通用设备
301680.SZ,固德电材,--,--,--,2197764400,82800000,60.452,246364756,新能源汽车动力电池热失控防护零部件||电力电工绝缘产品,汽车热管理;特高压;柔性直流输电;智能电网;储能;宁德时代概念;新能源汽车;专精特新;注册制次新股;锂电池概念;新股与次新股;融资融券,12,130.8,20,高低压电气绝缘系统和复合材料的研发、测试、销售；电气系统设备（包括包带、绕制、成型、焊接、注胶设备）的研发和销售；绝缘材料（包括绝缘漆、绝缘漆稀释剂、云母材料、防晕材料、绝缘纸、绝缘薄膜、绝缘胶带、绝缘板材、绝缘复合制品、电磁线等）的研发、测试、销售；绝缘结构件的生产、加工、销售；环氧灌封/浇注树脂（不含溶剂）的生产、销售；环氧类、聚氨酯类、有机硅类、聚酯类绝缘树脂的开发、测试、销售；危险化学品批发[第3类第2项：溶剂油；第3类第3项：二甲苯、苯乙烯、乙烯基甲苯异构体混合物、环氧绝缘漆、醇酸绝缘漆、聚酯树脂绝缘漆、有机硅耐高温漆（不得储存）]；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：云母制品制造；软木制品制造；软木制品销售；塑料制品制造；塑料制品销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,www.goodeeis.com,汽车-汽车零部件-其他汽车零部件
301667.SZ,纳百川,--,--,--,2370016200,111669600,151.384,105131578,电池液冷板||电池集成箱体||燃油汽车发动机散热器||加热器暖风,注册制次新股;汽车热管理;宁德时代概念;锂电池概念;储能;新能源汽车;专精特新;华为概念;深股通;新股与次新股;融资融券,11,105.36,20,一般项目：光伏设备及元器件制造；汽车零部件及配件制造；汽车零配件批发；新能源汽车电附件销售；电池零配件生产；模具制造；模具销售；货物进出口（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,www.rnbc.com,汽车-汽车零部件-底盘与发动机系统
688295.SH,中复神鹰,--,--,--,53460000000,900000000,553.083,23657330,碳纤维||syt45s||syt49s||syt55s||sym40||sym40等||syt45||syt65||syt70||sym46j||sym50j||sym35x||sym40j||sym40x||sym50j级||sym46x||sym50x||sym55j||sym60j级产品,碳纤维;大飞机;飞行汽车(eVTOL);低空经济;风电;氢能源;专精特新;机器人概念;国企改革;沪股通;中字头股票;融资融券,12,59.4,20,碳纤维原丝、碳纤维、碳纤维制品的研发、制造与销售；承接相关工程设计、提供技术咨询服务；自营和代理各类商品及技术的进出口业务，但国家限定或禁止经营的商品及技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,www.zfsycf.com.cn,基础化工-化学纤维-其他纤维
920086.BJ,科马材料,--,--,--,1047314620,83680000,36.008,--,干式离合器摩擦片-湿式浸胶工艺产品||干式离合器摩擦片-干式挤浸工艺产品||湿式纸基摩擦片||铜基摩擦片,华为汽车;新能源汽车;比亚迪概念;华为概念;专精特新;新股与次新股;融资融券,7,39.16,18.20102626,一般项目：汽车零部件研发；汽车零部件及配件制造；汽车零配件批发；建筑工程用机械制造；建筑工程用机械销售；新材料技术研发；农林牧渔机械配件制造；农林牧渔机械配件销售；轴承、齿轮和传动部件制造；轴承、齿轮和传动部件销售；货物进出口；技术进出口(除依法须经批准的项目外，凭营业执照依法自主开展经营活动),www.kema.com.cn,汽车-汽车零部件-底盘与发动机系统
920036.BJ,觅睿科技,--,--,--,786027650,54421827,50.886,--,卡片摄像机||筒型摄像机||云台摄像机||电池摄像机||智能门铃||灯具摄像机||婴儿监护器||智能伴宠设备||smb监控系统套装产品||云存储||ai增值服务||4g增值服务,多模态AI;物联网;AI应用;AI智能体;新股与次新股;融资融券;人民币贬值受益,7,60.18,15.22113728,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；智能家庭消费设备制造；智能家庭消费设备销售；影视录放设备制造；电子产品销售；计算机软硬件及外围设备制造；计算机软硬件及辅助设备零售；计算机软硬件及辅助设备批发；电子专用设备制造；电子专用设备销售；照明器具制造；照明器具销售；安防设备制造；安防设备销售；互联网数据服务；软件开发；货物进出口；技术进出口（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。（分支机构经营场所设在：杭州市滨江区西兴街道（临）楚天路91号1幢3层301室、302室，4层；2幢2层，3层232室，4层；从事智能家庭消费设备制造；电子专用设备制造；照明器具制造；安防设备制造。）,www.meari.com,计算机-计算机设备-安防设备
300042.SZ,朗科科技,--,--,--,10199420900,200400000,-268.763,-116332440,移动存储产品||闪存控制芯片||专利授权许可||闪存应用及移动存储产品||闪存应用产品||固体硬盘||闪存盘||专利授权许可收入||闪存控制芯片及其他||房屋租赁||固态存储||dram动态存储||嵌入式存储||闪存应用||ssd||固态硬盘||dram||内存条||智能音频眼镜||蓝牙耳机||含集线器||硬盘盒||ssd固态硬盘||dram内存条||集线器,存储芯片;汽车芯片;芯片概念;算力租赁;东数西算(算力);AI眼镜;消费电子概念;智能穿戴;时空大数据;华为昇腾;华为鲲鹏;智慧城市;粤港澳大湾区;人民币贬值受益;DeepSeek概念;虚拟数字人;知识产权保护;国企改革;跨境电商;深股通;融资融券,21,50.9,11.62280702,"一般经营项目是：从事电脑软硬件、移动存储产品、数码影音娱乐产品、多媒体产品、网络、系统集成及无线数据产品(不含限制项目)的技术开发;从事集成电路设计;从事移动存储产品、数码影音娱乐产品及无线数据产品(不含限制项目)的生产(由分支机构经营);玩具类产品的设计、研发、生产与销售;从事国内商业、物资供销业(不含专营、专控、专卖商品);信息咨询(不含限制项目);从事自有技术的转让及授权;经营进出口业务(法律、行政法规、国务院决定禁止的项目除外,限制的项目须取得许可后方可经营);自有物业租赁,自有物业管理。许可经营项目是：从事出版物批发、零售业务。",www.netac.com.cn;www.netac.com,计算机-计算机设备-其他计算机设备
600569.SH,安阳钢铁,--,--,--,8100228300,2872421386,104.144,104587595.6,型材||板材||建材||热板||冷板||精品板材||长材||板带材||管材||热轧卷板||冷轧卷板||高速线材||高线||铸管等产品,特钢概念;国企改革;回购增持再贷款概念;股权转让(并购重组);沪股通;融资融券,6,2.82,10.15625,生产和经营冶金产品、副产品、钢铁延伸产品、冶金产品的原材料、化工产品（不含易燃易爆危险品）；冶金技术开发、协作、咨询，实业投资（国家专项规定的除外）。经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务（国家限定公司经营或禁止进出口的商品和技术除外）。医用氧的生产（凭许可证经营）。苯、萘、蒽油乳剂、煤焦酚、煤焦沥青、煤焦油、硫磺、氧（压缩的）、氧（液化的）、氮（压缩的）、氮（液化的）、氩（压缩的）、氩（液化的）、硫酸的经营（无仓储，凭许可证经营）。（以下限分支机构经营）冶金成套设备的制作，各类机电设备零部件，轧辊、金属结构件的加工、安装、修理和铸件、锻件、钢木模具的制作及零部件表面修复；大型设备、构件吊装运输。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,www.aysteel.com.cn,钢铁-钢铁-普钢
300345.SZ,华民股份,--,--,--,3954615200,580230043,-34.952,63789739,磨段||衬板||球磨机||铬锰钨抗磨铸铁磨球||磨球||球磨机耐磨铸件||耐磨铸件||耐磨材料||水泥磨球||矿山||传统衬板||3d喷焊衬板||金属陶瓷pip||军品服务||锤头||pip||石油套管||弯管||单晶硅棒||单晶硅片||多晶提纯硅锭||新型铬锰钨系抗磨铸铁磨球||台阶形节能衬板||低合金钢锤头||pip表面强化工艺,BC电池;TOPCON电池;HJT电池;硅能源;光伏概念;碳中和;储能;军工;军民融合;智慧城市;机器人概念;人形机器人;华为概念;智能电网,14,8.25,10.14686248,磨球、磨段、辊类耐磨件及各种耐磨新材料生产、加工、销售；衬板的生产、销售及拆装；高分子材料的研发、生产、销售；球磨机节能技术的研发、应用；球磨系统的相关辅助设备、控制设备、检测设备的研发、生产、销售；节能环保技术的研究、开发及运用；自营和代理各类商品和技术的进出口，但国家限定公司经营或者禁止进出口除外；3D打印技术的研发与应用服务；金属表面处理及热处理加工；矿山机械制造；自营和代理各类商品及技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外；新材料技术开发服务、咨询、交流服务；智慧城市的相关服务、规划、设计；智慧城市与智慧楼宇的软件开发、信息技术服务；智慧路灯、安防监控、数据中心产品与系统、计算机软件、计算机硬件、通信设备的销售；智慧路灯、安防监控、通信设备的制造；智慧路灯、安防监控设计；智慧路灯运营；软件开发系统集成服务；信息系统集成服务；网络集成系统的开发建设、运行维护服务；以自有资产进行项目、产业、基础设施投资（不得从事吸收存款、集资收款、受托贷款、发放贷款等国家金融监管及财政信用业务）；安防监控运营；安防系统工程施工；工程咨询；信息系统工程的咨询、规划；计算机技术开发、技术服务；计算机技术咨询；计算机技术转让；计算机硬件的开发；互联网科技技术开发、科技技术转让、科技技术咨询、科技技术服务；智慧城市与智慧楼宇信息技术服务；建筑材料、空调设备、配电设备销售；建筑装饰材料的零售；智慧水务工程运行维护服务；互联网广告服务；广告制作服务；广告发布服务；广告设计；广告国内外代理服务；计算机、软件及辅助设备、通讯及广播电视设备、五金产品、电气设备、电线、电缆、仪器仪表、办公设备、消防设备及器材的批发；移动互联网研发和维护；城市综合管廊的开发建设、运营管理、维护管理；市政公用工程施工总承包；房屋建筑工程、城市及道路照明工程的施工；机电设备安装工程专业承包；建筑装修装饰工程专业承包；消防设施工程专业承包；停车场建设；停车场运营管理；经营增值电信业务；第二类增值电信业务中的呼叫中心业务、信息服务业务（仅限互联网信息服务）；第二类增值电信业务中的信息服务业务（不含固定网电话信息服务和互联网信息服务）；自动化控制系统的研发、安装、销售及服务；基础软件开发；电子商务平台的开发建设。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,www.huaminchina.cn,电力设备-光伏设备-硅料硅片
600643.SH,爱建集团,--,--,--,8142600800,1593170778,32.583,160996710,商业||物业管理||旅游饮食服务业||融资租赁业||上海自贸||信托||手续费及佣金收入||信托业务||财富管理||固有业务||经营性租赁||融资性售后回租||不动产投资与资产管理||实业资产管理||基金销售||股权直投模式||私募基金模式||利息支出||佣金支出||库存商品||借款利息||保险费||资产管理与财富管理||私募股权投资,信托概念;互联网金融;参股券商;物业管理;沪股通;融资融券,6,5.12,10.10752688,货物进出口；实业投资，投资管理；商务咨询；建筑用钢筋产品销售；建筑材料销售；煤炭及制品销售；金属材料销售；化工产品销售（不含许可类化工产品）；石油制品销售（不含危险化学品）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,www.aj.com.cn,非银金融-多元金融-多元金融Ⅲ
