                  郑州煤电 (600121)
      时间	    开盘	    最高	    最低	    收盘	         成交量	高一高二多空.线1   	高一高二多空.线2   	高一高二多空.线1红 	高一高二多空.线2红 	高一高二多空.波峰  	高一高二多空.      	高一高二多空.波谷  	高一高二多空.      	高一高二多空.      	高一高二多空.      	高一高二多空.      	高一高二多空.      	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	主力进出.主力  	主力进出.游资  	主力进出.大户  	主力进出.散户  	主力进出.主比  	主力进出.游比  	主力进出.大比  	主力进出.散比  	主力进出.警戒线	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	
 2024/06/19	    3.44	    3.47	    3.43	    3.44	        8217740	       3.44	       3.44	           	           	           	       0.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      82177	           	           	           	           	           	           	           	           	           	           	           	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/20	    3.44	    3.45	    3.40	    3.41	        7353399	       3.44	       3.44	           	           	       3.47	       0.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      73534	           	           	           	           	           	           	           	           	           	           	           	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/21	    3.40	    3.42	    3.37	    3.41	        5477500	       3.43	       3.43	           	           	       3.47	       0.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      54775	           	           	           	           	           	           	           	           	           	           	           	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/24	    3.38	    3.38	    3.29	    3.29	       11108301	       3.41	       3.42	           	           	       3.47	       0.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	     111083	           	           	   80392.35	           	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/25	    3.29	    3.33	    3.28	    3.29	        5713080	       3.40	       3.41	           	           	       3.47	       0.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      57131	      75740	           	   74130.70	           	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/26	    3.28	    3.33	    3.21	    3.32	        9673382	       3.39	       3.40	           	           	           	       0.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      96734	      78651	           	   79930.66	           	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/27	    3.32	    3.32	    3.23	    3.23	        7107300	       3.37	       3.39	           	           	           	       0.00	       3.21	       1.00	       0.00	       0.00	       0.00	       0.00	          0	      71073	      78159	           	   84005.16	           	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/28	    3.23	    3.28	    3.22	    3.26	        6060478	       3.35	       3.37	           	           	           	       0.00	       3.21	       1.00	       0.00	       0.00	       0.00	       0.00	          0	      60605	      79325	           	   71385.60	   75888.97	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/01	    3.26	    3.32	    3.25	    3.32	        8449621	       3.35	       3.37	           	           	           	       0.00	       3.21	       1.00	       0.00	       0.00	       0.00	       0.00	          0	      84496	      74008	           	   78226.95	   76178.83	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/02	    3.33	    3.37	    3.30	    3.33	        8642998	       3.35	       3.37	           	           	           	       0.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      86430	      79868	      77804	   75650.99	   77790.83	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/03	    3.32	    3.34	    3.30	    3.31	        6057700	       3.34	       3.36	           	           	       3.37	       1.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      60577	      72636	      75644	   73026.99	   78516.08	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/04	    3.30	    3.32	    3.20	    3.20	        8533240	       3.32	       3.35	           	           	       3.37	       1.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      85332	      75488	      76824	   79208.90	   75297.25	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/05	    3.18	    3.23	    3.16	    3.22	        5833120	       3.31	       3.33	           	           	       3.37	       1.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      58331	      75033	      77179	   72667.64	   75447.30	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
