                  腾龙股份 (603158)
      时间	    开盘	    最高	    最低	    收盘	         成交量	高一高二多空.线1   	高一高二多空.线2   	高一高二多空.线1红 	高一高二多空.线2红 	高一高二多空.波峰  	高一高二多空.      	高一高二多空.波谷  	高一高二多空.      	高一高二多空.      	高一高二多空.      	高一高二多空.      	高一高二多空.      	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	主力进出.主力  	主力进出.游资  	主力进出.大户  	主力进出.散户  	主力进出.主比  	主力进出.游比  	主力进出.大比  	主力进出.散比  	主力进出.警戒线	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	
 2024/06/19	    7.24	    7.28	    7.16	    7.18	        4444700	       7.18	       7.18	           	           	           	       0.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      44447	           	           	           	           	           	           	           	           	           	           	           	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/20	    7.16	    7.17	    6.86	    6.90	        6850944	       7.14	       7.15	           	           	       7.28	       0.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      68509	           	           	           	           	           	           	           	           	           	           	           	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/21	    6.82	    7.00	    6.82	    6.92	        4550300	       7.11	       7.13	           	           	       7.28	       0.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      45503	           	           	           	           	           	           	           	           	           	           	           	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/24	    6.92	    6.92	    6.58	    6.60	        7822384	       7.04	       7.08	           	           	           	       0.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      78224	           	           	   59170.82	           	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/25	    6.62	    6.88	    6.58	    6.73	        7339300	       7.00	       7.05	           	           	           	       0.00	       6.58	       1.00	       0.00	       0.00	       0.00	       0.00	          0	      73393	      62015	           	   66407.32	           	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/26	    6.67	    6.94	    6.62	    6.93	        6971796	       6.99	       7.04	           	           	           	       0.00	       6.58	       1.00	       0.00	       0.00	       0.00	       0.00	          0	      69718	      67069	           	   66709.45	           	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/27	    6.88	    6.96	    6.68	    6.70	        7110092	       6.95	       7.01	           	           	           	       0.00	       6.58	       1.00	       0.00	       0.00	       0.00	       0.00	          0	      71101	      67588	           	   73108.93	           	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/06/28	    6.68	    6.85	    6.63	    6.72	        5731287	       6.92	       6.98	           	           	           	       0.00	       6.58	       1.00	       0.00	       0.00	       0.00	       0.00	          0	      57313	      69950	           	   67881.19	   63526.00	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/01	    6.73	    6.85	    6.61	    6.81	        6282608	       6.91	       6.97	           	           	           	       0.00	       6.58	       1.00	       0.00	       0.00	       0.00	       0.00	          0	      62826	      66870	           	   65239.46	   65823.39	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/02	    6.81	    6.91	    6.71	    6.75	        6501180	       6.89	       6.95	           	           	           	       0.00	       6.58	       1.00	       0.00	       0.00	       0.00	       0.00	          0	      65012	      65194	      63605	   64062.92	   65386.18	           	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
